geography,year,n_areas,z_total_mean,z_total_lo90,z_total_hi90
Hammersmith and Fulham,2021,115,693.3936844926257,430.89849978183565,942.3038924742909
Hammersmith and Fulham,total,115,10503.0,10503.0,10503.0
Haringey,2012,147,825.1211457478626,661.7837565756223,998.6733783367491
Haringey,2013,147,873.0004180795905,757.9876107509685,997.8504846861335
Haringey,2014,147,510.9513667575723,371.18296376211964,658.9062496842046
Haringey,2015,147,785.1884010880373,610.3259247911186,964.5219811894011
Haringey,2016,147,1044.5854584784954,881.6697502393462,1195.6649952946232
Haringey,2017,147,1469.0496103299831,1331.2713765858846,1612.1272883129661
Haringey,2018,147,1214.7381299668546,1095.236396557313,1341.6949459383313
Haringey,2019,147,765.8820233198991,633.599012404037,908.449739381822
Haringey,2020,147,997.6325127927726,842.1949644899148,1140.8674376167544
Haringey,2021,147,671.8509334389323,514.3352744612766,834.3616781295945
Haringey,total,147,9158.0,9158.0,9158.0
Harrow,2012,144,524.0900858231399,382.0217937310868,693.3367261035471
Harrow,2013,144,786.8155747234474,592.8198411620572,996.4000790583887
Harrow,2014,144,550.8260506242262,387.6592090389244,742.061023218488
Harrow,2015,144,744.465558990786,462.59591467674943,997.4484073304594
Harrow,2016,144,1135.029731881921,959.7198139561172,1329.8723806433543
Harrow,2017,144,883.1541706799757,641.3431911521278,1075.002447260537
Harrow,2018,144,1062.876800172684,883.5587486455515,1251.1449435209631
Harrow,2019,144,844.5990587966955,664.0614309723517,1031.8115366667412
Harrow,2020,144,1087.5386564985633,906.978891102308,1283.2006442356092
Harrow,2021,144,646.6043118085611,498.3521357428005,814.1992252715892
Harrow,total,144,8266.0,8266.0,8266.0
Havering,2012,153,689.9905398333832,538.199465718005,850.6212765595004
Havering,2013,153,596.5250703977308,469.13050601714576,740.3632375895609
Havering,2014,153,843.953920533215,713.6074409392124,991.0487835105085
Havering,2015,153,863.8633545408733,709.3928655299779,1032.3337796591918
Havering,2016,153,937.5299381561562,783.2836014636429,1091.7846684011095
Havering,2017,153,931.9159684492752,786.8499761848983,1093.8035672769836
Havering,2018,153,799.3783045865096,642.5563675319612,983.2423269069955
Havering,2019,153,530.2337914473039,374.19112257293517,705.0606008671064
Havering,2020,153,661.5978406717978,502.0191999270627,826.2322655568073
Havering,2021,153,518.0112713837552,384.436546382472,672.17996114811
Havering,total,153,7373.0,7373.0,7373.0
Hillingdon,2012,170,1045.2758851940612,867.0872470240423,1259.8682247179026
